[Bridge 8004] Bind attempt 1 failed: [WinError 10013] Access denied, retrying in 1s...
[Bridge 8004] Bind attempt 2 failed: [WinError 10013] Access denied, retrying in 1s...
[Bridge 8004] Bind attempt 3 failed: [WinError 10013] Access denied, retrying in 1s...
[Bridge 8004] Bind attempt 4 failed: [WinError 10013] Access denied, retrying in 1s...
[Bridge 8004] Bind attempt 5 failed: [WinError 10013] Access denied, retrying in 1s...
[Bridge 8004] Bind attempt 6 failed: [WinError 10013] Access denied, retrying in 1s...
[Bridge 8004] Bind attempt 7 failed: [WinError 10013] Access denied, retrying in 1s...
[Bridge 8004] Bind attempt 8 failed: [WinError 10013] Access denied, retrying in 1s...
[Bridge 8004] Bind attempt 9 failed: [WinError 10013] Access denied, retrying in 1s...
[Bridge 8004] Bind attempt 10 failed: [WinError 10013] Access denied, retrying in 1s...
[Bridge 8004] Failed to bind after 10 attempts!
